#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
12214519996352,0.0000000000,0.0000000000,0.0000000000,0.7405053744,-0.6719634921,-0.0108099902,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12214553292852,0.0000066316,-0.0000090571,-0.0000460013,0.7404955044,-0.6719744814,-0.0108029768,0.0000035812,0.0002730405,-0.0005121231,-0.0028725863,-0.0008895037,0.0004500915,-0.0001309243
12214586576452,0.0000126262,-0.0000322184,-0.0001874468,0.7404762518,-0.6719955812,-0.0108101536,0.0000037052,0.0002234019,-0.0007657111,-0.0057137012,-0.0017163321,-0.0003268354,0.0002816115
12214619866552,0.0000265651,-0.0000622050,-0.0004274626,0.7404640980,-0.6720089377,-0.0108123525,0.0000132301,0.0005359836,-0.0009969473,-0.0086185932,-0.0010910397,0.0002788213,0.0005038310
12214653161052,-0.0000574637,-0.0005333305,0.0006538872,0.7392220048,-0.6733610764,-0.0116259682,-0.0007247483,-0.0013154559,-0.0021115546,-0.0005987545,-0.1098030738,-0.0667876031,-0.0008585736
12214686443452,0.0001262762,0.0000339008,-0.0001186085,0.7378394070,-0.6748768148,-0.0115743197,-0.0005739243,-0.0001217067,0.0057932120,-0.0076136449,-0.1233788572,0.0074972545,0.0034907603
12214719734352,0.0000253636,-0.0000280367,0.0000867688,0.7376693024,-0.6750744754,-0.0108835010,0.0000488138,0.0012161118,0.0067924978,-0.0084405448,-0.0160676164,0.0557587478,-0.0005480275
12214753028352,-0.0002129399,0.0000060291,0.0001808966,0.7375935942,-0.6751533229,-0.0111187502,-0.0002319609,-0.0003867984,0.0082050031,-0.0080287540,-0.0063798141,-0.0218602579,-0.0029532434
12214786311652,0.0000411451,0.0002247352,-0.0001917912,0.7378546484,-0.6748775738,-0.0105189558,0.0003601472,0.0026619593,0.0093805827,-0.0098376488,0.0224255431,0.0507766324,0.0020976609
12214819602152,-0.0000239372,0.0002608162,-0.0001823267,0.7380453761,-0.6746583414,-0.0111844714,-0.0002298909,-0.0002473744,0.0096036308,-0.0102600772,0.0178384719,-0.0532988181,0.0009622294
12214852890952,0.0000307483,0.0002591748,-0.0000134038,0.7383963635,-0.6742798892,-0.0108369815,0.0000348982,0.0014804960,0.0089158239,-0.0077684377,0.0308349839,0.0263718772,-0.0020846103
12214886179552,0.0001694158,0.0002102024,-0.0000904829,0.7386635648,-0.6739928276,-0.0104728828,0.0003537419,0.0041961693,0.0078152642,-0.0084736291,0.0233512854,0.0292439351,-0.0004187537
12214919469752,-0.0000431651,0.0000124806,0.0000809314,0.7393341508,-0.6732523302,-0.0107848642,0.0000011972,0.0017301684,0.0041874587,-0.0056401985,0.0602430291,-0.0276824472,-0.0025605597
12214952760252,-0.0001381264,0.0000301331,0.0000703155,0.7392588787,-0.6733323871,-0.0109442723,-0.0001719498,0.0002047836,0.0052755475,-0.0052051907,-0.0064882362,-0.0141325231,-0.0012949613
12214986047852,-0.0001820487,0.0000256217,0.0000303952,0.7393547795,-0.6732289106,-0.0108321578,-0.0000906463,0.0010681665,0.0045855902,-0.0055860505,0.0084234656,0.0083308938,-0.0008553942
12215019337952,-0.0001238766,0.0000987514,-0.0000498039,0.7393987478,-0.6731815068,-0.0107772579,-0.0000385493,0.0016685080,0.0046403394,-0.0056485301,0.0038503721,0.0045740746,0.0001246897
12215052626652,-0.0000660283,0.0001955428,-0.0003542340,0.7396916424,-0.6728592817,-0.0108008566,-0.0000523954,0.0017376540,0.0030312615,-0.0050485320,0.0261693831,-0.0014194391,0.0005486813
12215085942452,0.0000103716,-0.0001668161,0.0001823603,0.7399173415,-0.6726109419,-0.0108095436,-0.0000486457,0.0022049642,0.0007219621,-0.0020815448,0.0201416580,-0.0000887248,0.0006791248
12215119205352,0.0000315220,-0.0001609846,0.0001673617,0.7398916106,-0.6726382628,-0.0108703453,-0.0000870080,0.0015875362,0.0011305688,-0.0012668261,-0.0022313410,-0.0042731050,0.0007344171
12215152494852,0.0000049963,-0.0002233778,0.0001165541,0.7400128515,-0.6725037993,-0.0109361079,-0.0001449910,0.0009534169,-0.0002635394,-0.0003611197,0.0109142065,-0.0051879752,0.0001685546
12215185785452,-0.0000257930,-0.0002020432,0.0000362915,0.7400226990,-0.6724926648,-0.0109543369,-0.0001526466,0.0008459976,-0.0004170370,-0.0011007434,0.0008977447,-0.0011133475,0.0004035378
12215219074552,-0.0000967221,-0.0001281277,0.0000066633,0.7399789868,-0.6725408054,-0.0109512483,-0.0001849810,0.0010554808,0.0003932524,-0.0015683372,-0.0038851496,-0.0011974198,-0.0015944721
12215252365452,-0.0004674410,-0.0003330537,0.0005935693,0.7398750056,-0.6726532460,-0.0110668650,-0.0003335747,-0.0002999490,0.0013057448,-0.0010815875,-0.0091033527,-0.0112107027,-0.0020095532
12215285658952,-0.0004773510,-0.0004554361,0.0009301420,0.7398755527,-0.6726527193,-0.0110621834,-0.0003373655,-0.0001606020,0.0008198032,-0.0003743888,0.0000481327,0.0000552527,-0.0003572953
12215318943552,-0.0006962351,-0.0005704752,0.0010836784,0.7399040367,-0.6726199304,-0.0111469150,-0.0004382032,-0.0016464758,0.0001151000,0.0001736460,0.0026742981,-0.0078243724,-0.0010359170
12215352231052,-0.0008176127,-0.0004199840,0.0007185389,0.7399014153,-0.6726224349,-0.0111680393,-0.0004801952,-0.0019908817,0.0004199308,-0.0012211014,-0.0001897087,-0.0026377886,-0.0010148243
12215385528552,-0.0007278107,-0.0002620888,0.0005689604,0.7398958638,-0.6726297587,-0.0110968042,-0.0004234455,-0.0006061363,0.0009600596,-0.0005724278,-0.0005857839,0.0054550375,-0.0003609686
12215418811252,-0.0006582789,0.0002345154,-0.0002757637,0.7399436900,-0.6725766775,-0.0111247461,-0.0004341164,-0.0000672276,0.0014377185,-0.0016604648,0.0042995570,-0.0016431009,0.0006915618
12215452100152,-0.0005167442,0.0003922194,-0.0004766417,0.7399897392,-0.6725255680,-0.0111519841,-0.0004235858,-0.0004768190,0.0012301379,-0.0010108236,0.0041251466,-0.0007559193,0.0016041516
12215485395252,-0.0005979263,0.0005084088,-0.0006896151,0.7400018307,-0.6725111362,-0.0112180985,-0.0004653166,-0.0012612523,0.0014840293,-0.0018627266,0.0011562430,-0.0046169143,0.0008259102
